PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2011-01-01,50,45,39,46,40,29,93,71,49,30.23,30.16,30.12,10,8,3,15,8,17.0,0.38,8,Rain,109<br />
2011-01-02,51,48,45,48,45,42,100,93,86,30.09,30.01,29.96,10,5,2,15,5,22.0,1.13,8,Rain,123<br />
2011-01-03,55,47,39,44,40,38,100,77,54,30.19,30.09,30.01,10,8,3,7,1,17.0,T,4,,281<br />
2011-01-04,56,45,34,43,38,32,100,76,51,30.32,30.26,30.2,10,7,3,12,1,15.0,0.00,1,,210<br />
2011-01-05,46,40,33,41,37,33,100,88,76,30.4,30.33,30.3,6,2,0,7,1,8.0,0.00,7,Fog,294<br />
2011-01-06,42,41,39,38,37,37,92,87,82,30.33,30.27,30.18,5,3,1,6,2,9.0,0.00,8,,143<br />
2011-01-07,41,40,38,38,37,36,100,93,85,30.18,30.13,30.09,5,2,1,7,1,9.0,0.00,8,,11<br />
2011-01-08,40,39,37,36,35,33,92,86,79,30.13,30.09,30.04,6,4,3,8,1,10.0,0.00,8,,121<br />
2011-01-09,41,40,38,37,35,33,92,83,73,30.21,30.14,30.09,10,6,3,9,4,12.0,0.00,8,,315<br />
2011-01-10,48,43,38,36,33,29,92,73,53,30.26,30.22,30.19,10,8,5,7,2,15.0,0.00,7,,23<br />
2011-01-11,53,46,38,41,37,34,92,73,54,30.29,30.24,30.18,10,7,4,15,4,21.0,0.00,8,,121<br />
2011-01-12,61,51,40,42,39,32,93,64,35,30.41,30.34,30.29,10,5,2,9,2,15.0,0.00,3,,335<br />
2011-01-13,60,49,37,46,41,35,100,74,47,30.43,30.38,30.34,6,4,2,9,2,16.0,0.00,5,,96<br />
2011-01-14,53,50,47,48,46,42,100,92,83,30.42,30.37,30.34,7,2,1,7,1,7.0,0.01,7,,227<br />
2011-01-15,55,48,41,47,45,39,100,89,77,30.38,30.32,30.27,5,3,0,8,2,12.0,0.00,7,Fog,137<br />
2011-01-16,54,52,49,47,46,45,93,85,77,30.31,30.26,30.22,4,3,2,8,2,10.0,0.00,8,,141<br />
2011-01-17,51,50,49,47,46,45,93,87,80,30.28,30.22,30.17,4,2,2,6,2,7.0,0.00,8,,119<br />
2011-01-18,50,49,48,46,45,44,93,87,80,30.18,30.14,30.09,9,7,3,8,3,10.0,0.00,8,,102<br />
2011-01-19,53,51,48,46,44,43,93,82,71,30.14,30.08,30.03,8,7,4,14,4,16.0,0.00,8,,58<br />
2011-01-20,63,52,41,45,43,40,96,72,48,30.25,30.18,30.13,8,5,4,6,1,9.0,0.00,3,,79<br />
2011-01-21,59,49,39,48,43,37,100,81,62,30.22,30.14,30.09,6,2,0,7,1,10.0,0.00,3,Fog,127<br />
2011-01-22,59,48,37,49,43,37,100,84,67,30.09,30.05,30.0,3,1,0,8,1,10.0,0.00,4,Fog,297<br />
2011-01-23,62,52,42,49,45,41,100,80,60,30.23,30.17,30.09,8,2,0,7,2,8.0,0.00,4,Fog,127<br />
2011-01-24,53,46,39,48,44,39,100,92,83,30.21,30.17,30.13,2,1,0,7,2,12.0,0.00,5,Fog,145<br />
2011-01-25,56,48,39,46,45,39,100,83,66,30.2,30.15,30.09,3,1,0,8,2,9.0,0.00,6,Fog,285<br />
2011-01-26,56,49,42,47,44,41,100,86,72,30.28,30.21,30.16,4,1,0,8,3,14.0,0.00,6,Fog,33<br />
2011-01-27,52,47,41,45,43,41,100,89,77,30.35,30.27,30.21,4,1,0,9,2,,0.00,6,Fog,163<br />
2011-01-28,54,48,41,45,43,41,100,86,71,30.21,30.15,30.08,4,1,0,8,2,,0.00,5,Fog,198<br />
2011-01-29,46,44,41,43,42,40,100,95,89,30.18,30.13,30.09,3,1,0,13,5,15.0,0.00,8,Fog,284<br />
2011-01-30,54,49,43,46,44,41,100,86,71,30.19,30.1,30.05,10,6,2,16,7,20.0,0.20,7,Rain,93<br />
2011-01-31,53,48,42,45,43,40,100,84,68,30.31,30.24,30.18,10,5,0,10,3,20.0,0.00,6,Fog,356<br />
